algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	axpy	5	objects-m22-objects-v2-objects-v2	238.43025219999998	LENOVO.20ERCTO1WW	239.8742086	239.848808512	1048576	20171019-1608	6	50	0.05	6	59.959668743	240.95149426999998	215838.7289656073	621
instanceof	axpy	10	objects-m22-objects-v2-objects-v2	103.4428261	LENOVO.20ERCTO1WW	103.9073092	104.64405665800001	1048576	20171019-1614	6	50	0.05	6	52.321203073	105.6856336	215838.7289656073	1356
instancefn	axpy	10	objects-m22-objects-v2-objects-v2	104.6723188	LENOVO.20ERCTO1WW	106.15416465	105.686732066	1048576	20171019-1621	6	50	0.05	6	52.844753245	106.46281598	215838.7289656073	1537
defmulti	axpy	2	objects-m22-objects-v2-objects-v2	645.5990530000001	LENOVO.20ERCTO1WW	654.5027095	653.2051911799999	1048576	20171019-1628	6	50	0.05	6	65.321188649	661.0321764	215838.7289656073	337
hashmaps	axpy	5	objects-m22-objects-v2-objects-v2	228.98669840000002	LENOVO.20ERCTO1WW	236.7685864	233.823956816	1048576	20171019-1635	6	50	0.05	6	58.457682372	237.158421	215838.7289656073	697
signatures	axpy	5	objects-m22-objects-v2-objects-v2	204.851373	LENOVO.20ERCTO1WW	209.1999077	208.162276432	1048576	20171019-1642	6	50	0.05	6	52.039417106	211.26856587	215838.7289656073	1025
nohierarchy	axpy	6	objects-m22-objects-v2-objects-v2	183.68129516666667	LENOVO.20ERCTO1WW	188.31798183333333	185.83045487	1048576	20171019-1649	6	50	0.05	6	55.748323608	188.10766924166668	215838.7289656073	883
dynafun	axpy	6	objects-m22-objects-v2-objects-v2	178.71409383333338	LENOVO.20ERCTO1WW	180.66366233333332	180.1084438466667	1048576	20171019-1655	6	50	0.05	6	54.034158498	181.285534975	215838.7289656073	907
dynamap	axpy	6	objects-m22-objects-v2-objects-v2	177.16873416666667	LENOVO.20ERCTO1WW	178.65061041666667	179.07856063666668	1048576	20171019-1702	6	50	0.05	6	53.724253049	180.70016905833333	215838.7289656073	907
