algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	intersects	Sets-Sets	IntervalOf2-integer_interval	7	Sets-IntervalOf2-Sets-integer_interval	143.83766742857142	LENOVO.20ERCTO1WW	145.80861028571428	144.61049714285716	1048576	20210130-1920	6	50	0.05	6	50.6144451	145.350801	4184975.0	1099
instanceof	intersects	Sets-Sets	IntervalOf2-integer_interval	53	Sets-IntervalOf2-Sets-integer_interval	18.952114773584906	LENOVO.20ERCTO1WW	18.985194962264153	19.016564018867925	1048576	20210130-1924	6	50	0.05	6	50.39328675	19.093843075471696	4184975.0	7251
instancefn	intersects	Sets-Sets	IntervalOf2-integer_interval	39	Sets-IntervalOf2-Sets-integer_interval	25.47965848717949	LENOVO.20ERCTO1WW	25.62289592307692	25.65698725641026	1048576	20210130-1928	6	50	0.05	6	50.03055695	25.81937848717949	4184975.0	6283
defmulti	intersects	Sets-Sets	IntervalOf2-integer_interval	2	Sets-IntervalOf2-Sets-integer_interval	590.663496	LENOVO.20ERCTO1WW	594.356071	596.151513	1048576	20210130-1932	6	50	0.05	6	59.617219	601.429386	4184975.0	271
hashmaps	intersects	Sets-Sets	IntervalOf2-integer_interval	10	Sets-IntervalOf2-Sets-integer_interval	110.35667600000001	LENOVO.20ERCTO1WW	112.555426	113.3528654	1048576	20210130-1935	6	50	0.05	6	56.6782962	117.14079600000001	4184975.0	1231
signatures	intersects	Sets-Sets	IntervalOf2-integer_interval	11	Sets-IntervalOf2-Sets-integer_interval	90.96664136363636	LENOVO.20ERCTO1WW	93.550655	93.46542972727273	1048576	20210130-1939	6	50	0.05	6	51.41111735	95.43176954545454	4184975.0	1481
nohierarchy	intersects	Sets-Sets	IntervalOf2-integer_interval	14	Sets-IntervalOf2-Sets-integer_interval	74.3224745	LENOVO.20ERCTO1WW	75.03060307142857	75.38269749999999	1048576	20210130-1943	6	50	0.05	6	52.76501125	76.17619592857143	4184975.0	2131
dynafun	intersects	Sets-Sets	IntervalOf2-integer_interval	19	Sets-IntervalOf2-Sets-integer_interval	52.038611736842114	LENOVO.20ERCTO1WW	52.944572263157895	53.05538605263158	1048576	20210130-1946	6	50	0.05	6	50.40062955	53.80720568421053	4184975.0	2905
dynamap	intersects	Sets-Sets	IntervalOf2-integer_interval	14	Sets-IntervalOf2-Sets-integer_interval	71.95776021428571	LENOVO.20ERCTO1WW	72.25321021428572	72.97149778571428	1048576	20210130-1950	6	50	0.05	6	51.08326705	74.08326735714284	4184975.0	1891
