algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	intersects	objects-objects	SetOf3-SetOf3	5	objects-SetOf3-objects-SetOf3	219.194193	LENOVO.20ERCTO1WW	219.856486	220.1865524	1048576	20210130-1954	6	50	0.05	6	55.0450499	221.149165	2793603.0	799
instanceof	intersects	objects-objects	SetOf3-SetOf3	22	objects-SetOf3-objects-SetOf3	46.14287318181818	LENOVO.20ERCTO1WW	46.36545727272727	46.51469263636364	1048576	20210130-1958	6	50	0.05	6	51.1556564	46.79873772727273	2793603.0	3487
instancefn	intersects	objects-objects	SetOf3-SetOf3	20	objects-SetOf3-objects-SetOf3	51.24070595	LENOVO.20ERCTO1WW	51.70322095	51.60607255	1048576	20210130-2002	6	50	0.05	6	51.60013755	52.0006987	2793603.0	3109
defmulti	intersects	objects-objects	SetOf3-SetOf3	2	objects-SetOf3-objects-SetOf3	607.1068435	LENOVO.20ERCTO1WW	611.697846	612.579624	1048576	20210130-2007	6	50	0.05	6	61.2554582	617.9686235	2793603.0	361
hashmaps	intersects	objects-objects	SetOf3-SetOf3	7	objects-SetOf3-objects-SetOf3	143.548786	LENOVO.20ERCTO1WW	144.83842457142856	146.83549028571426	1048576	20210130-2011	6	50	0.05	6	51.3908544	150.79673742857142	2793603.0	1003
signatures	intersects	objects-objects	SetOf3-SetOf3	8	objects-SetOf3-objects-SetOf3	128.2024335	LENOVO.20ERCTO1WW	131.95262725	130.53552475	1048576	20210130-2015	6	50	0.05	6	52.2102273	132.930821	2793603.0	1249
nohierarchy	intersects	objects-objects	SetOf3-SetOf3	9	objects-SetOf3-objects-SetOf3	111.08115155555556	LENOVO.20ERCTO1WW	114.66276822222223	113.10022000000002	1048576	20210130-2018	6	50	0.05	6	50.8838625	118.96484044444446	2793603.0	1216
dynafun	intersects	objects-objects	SetOf3-SetOf3	13	objects-SetOf3-objects-SetOf3	84.3467113076923	LENOVO.20ERCTO1WW	86.34473438461538	85.48658392307692	1048576	20210130-2022	6	50	0.05	6	55.56662235	86.6740016923077	2793603.0	1631
dynamap	intersects	objects-objects	SetOf3-SetOf3	9	objects-SetOf3-objects-SetOf3	111.83347377777778	LENOVO.20ERCTO1WW	113.61431822222222	113.55100200000001	1048576	20210130-2025	6	50	0.05	6	51.0983121	114.73075155555557	2793603.0	1186
