algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
dynest	contains	12	objects-SetOf7-objects-uniformNumber	89.19336733333334	LENOVO.20ERCTO1WW	90.338072875	90.00148865397136	1048576	20170904-2333	6	256	0.05	6	276.48865492	90.76473152083335	1797124	133
instancefn	contains	17	objects-SetOf7-objects-uniformNumber	60.61456005882353	LENOVO.20ERCTO1WW	61.25307935294118	61.00283848644302	1048576	20170904-2341	6	256	0.05	6	265.484168945	61.30920130882353	1796651	166
nohierarchy	contains	10	objects-SetOf7-objects-uniformNumber	106.4181525	LENOVO.20ERCTO1WW	106.84385235	107.37532207382813	1048576	20170904-2348	6	256	0.05	6	274.884977394	108.31572340000001	1797124	91
dynafun	contains	10	objects-SetOf7-objects-uniformNumber	100.5083139	LENOVO.20ERCTO1WW	101.34695025	101.20717599531251	1048576	20170904-2356	6	256	0.05	6	259.083953039	101.876444875	1797124	101
dynalin	contains	8	objects-SetOf7-objects-uniformNumber	135.4750195	LENOVO.20ERCTO1WW	136.9065394375	139.25314612841797	1048576	20170905-0004	6	256	0.05	6	285.167413867	145.9209358125	1797124	79
