algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
instanceof	contains	7	objects-SetOf3-NumberArray-uniformDoubleOrInteger	159.10962928571428	LENOVO.20ERCTO1WW	159.77692685714285	160.62095632428571	4194304	20170901-0759	6	100	0.05	6	112.435866647	162.06425314285713	5575531	73
defmulti	contains	1	objects-SetOf3-NumberArray-uniformDoubleOrInteger	2383.02547	LENOVO.20ERCTO1WW	2397.35671	2401.1840584300003	4194304	20170901-0808	6	100	0.05	6	240.117409199	2416.79539915	5596363	5
hashmaps	contains	3	objects-SetOf3-NumberArray-uniformDoubleOrInteger	419.21307700000006	LENOVO.20ERCTO1WW	428.0987333333333	430.24951103333336	4194304	20170901-0815	6	100	0.05	6	129.080458321	443.66983423333335	5596363	25
nonvolatile	contains	3	objects-SetOf3-NumberArray-uniformDoubleOrInteger	453.1362063666667	LENOVO.20ERCTO1WW	464.22829783333333	463.72075113333347	4194304	20170901-0823	6	100	0.05	6	139.125341405	475.5507523333334	5596363	25
signatures	contains	3	objects-SetOf3-NumberArray-uniformDoubleOrInteger	366.0629986666667	LENOVO.20ERCTO1WW	366.87694616666664	372.85067925000004	4194304	20170901-0830	6	100	0.05	6	111.871986698	379.95979400000004	5596363	31
nohierarchy	contains	3	objects-SetOf3-NumberArray-uniformDoubleOrInteger	369.43378233333334	LENOVO.20ERCTO1WW	377.6726321666667	376.27754724000005	4194304	20170901-0837	6	100	0.05	6	112.879334835	383.6007993333333	5596363	31
dynafun	contains	4	objects-SetOf3-NumberArray-uniformDoubleOrInteger	287.50385875	LENOVO.20ERCTO1WW	291.764548375	291.3553044925	4194304	20170901-0844	6	100	0.05	6	116.538683673	295.70141392500005	5596363	37
dynarity	contains	4	objects-SetOf3-NumberArray-uniformDoubleOrInteger	289.12272850000005	LENOVO.20ERCTO1WW	292.10802375	293.41599339000004	4194304	20170901-0851	6	100	0.05	6	117.366626374	297.537245325	5596363	37
