algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
instanceof	contains	6	objects-SetOf7-objects-uniformNumber	188.6197911666667	LENOVO.20ERCTO1WW	190.30086775	190.09803180166668	4194304	20170829-0836	6	100	0.05	6	114.061883051	191.57557833333337	7147379	61
defmulti	contains	1	objects-SetOf7-objects-uniformNumber	2407.5274090000003	LENOVO.20ERCTO1WW	2422.2938865	2423.7901350900006	4194304	20170829-0845	6	100	0.05	6	242.365495854	2441.3489050000003	7195112	5
hashmaps	contains	2	objects-SetOf7-objects-uniformNumber	529.7772820000001	LENOVO.20ERCTO1WW	539.49104725	538.7340322050001	4194304	20170829-0851	6	100	0.05	6	107.741673687	549.476192325	7195112	19
nonvolatile	contains	2	objects-SetOf7-objects-uniformNumber	550.9100185	LENOVO.20ERCTO1WW	560.8781425	560.05193096	4194304	20170829-0858	6	100	0.05	6	112.014408887	569.277448	7195112	19
signatures	contains	3	objects-SetOf7-objects-uniformNumber	454.66319733333336	LENOVO.20ERCTO1WW	464.391914	461.7362382866667	4194304	20170829-0905	6	100	0.05	6	138.519948495	470.5782080000001	7195112	25
nohierarchy	contains	3	objects-SetOf7-objects-uniformNumber	449.8444223333334	LENOVO.20ERCTO1WW	462.53676716666666	457.3799346133334	4194304	20170829-0912	6	100	0.05	6	137.213387792	465.2559433333334	7195112	25
dynafun	contains	3	objects-SetOf7-objects-uniformNumber	370.8574616666667	LENOVO.20ERCTO1WW	375.5747358333333	375.93869781000006	4194304	20170829-0918	6	100	0.05	6	112.786111575	381.7235903333334	7195112	31
