algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	contains	35	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	28.5821892	LENOVO.20ERCTO1WW	28.602162785714285	28.642727287834823	1048576	20170906-0708	6	256	0.05	6	256.638680799	28.69342705	2095026	355
protocols	contains	7	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	143.1171904642857	LENOVO.20ERCTO1WW	144.86627285714286	144.13525461160714	1048576	20170906-0715	6	256	0.05	6	258.283001144	145.11272582142857	2095026	91
instanceof	contains	30	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	33.6298211	LENOVO.20ERCTO1WW	33.681598433333335	33.745043069661456	1048576	20170906-0723	6	256	0.05	6	259.162227989	33.85739143333333	2087215	337
instancefn	contains	28	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	35.71949292857143	LENOVO.20ERCTO1WW	35.933138392857146	35.88616189397322	1048576	20170906-0730	6	256	0.05	6	257.230858278	36.036249285714284	2095026	307
defmulti	contains	2	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	541.6609970000001	LENOVO.20ERCTO1WW	552.76552175	550.1131795351563	1048576	20170906-0738	6	256	0.05	6	281.647875318	557.27650975	2095026	19
hashmaps	contains	10	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	109.6261982	LENOVO.20ERCTO1WW	110.8175987	111.88016436875	1048576	20170906-0746	6	256	0.05	6	286.421382135	114.2341526	2095026	91
signatures	contains	12	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	88.66875041666668	LENOVO.20ERCTO1WW	90.18382425	89.84035122070314	1048576	20170906-0754	6	256	0.05	6	275.988711818	90.88653133333334	2095026	121
nohierarchy	contains	12	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	89.77899316666668	LENOVO.20ERCTO1WW	91.06421758333333	91.00282099707033	1048576	20170906-0801	6	256	0.05	6	279.555997938	92.13471116666668	2095026	127
dynafun	contains	19	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	53.013325421052635	LENOVO.20ERCTO1WW	53.74066778947368	53.419151095394746	1048576	20170906-0809	6	256	0.05	6	259.832025104	53.814484973684216	2095026	205
dynamap	contains	19	Sets-IntervalOf2-NumberArray-uniformDoubleOrInteger	54.77740042105264	LENOVO.20ERCTO1WW	54.95555210526316	55.322745344572375	1048576	20170906-0817	6	256	0.05	6	269.094475637	55.81602363157896	2095026	217
