algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	contains	6	objects-SetOf3-NumberArray-uniformDoubleOrInteger	166.08841600000002	LENOVO.20ERCTO1WW	167.70509825	167.33137289062503	1048576	20170921-0305	6	256	0.05	6	257.020362259	168.4090066666667	1398939.0	2011
instanceof	contains	29	objects-SetOf3-NumberArray-uniformDoubleOrInteger	35.54493265517242	LENOVO.20ERCTO1WW	35.68925475862069	35.665391048221984	1048576	20170921-0317	6	256	0.05	6	264.777451915	35.77256975	1393806.0	7736
instancefn	contains	30	objects-SetOf3-NumberArray-uniformDoubleOrInteger	34.0105026	LENOVO.20ERCTO1WW	34.12968348333333	34.13672483515625	1048576	20170921-0330	6	256	0.05	6	262.170367625	34.24225166666667	1398048.0	9595
defmulti	contains	2	objects-SetOf3-NumberArray-uniformDoubleOrInteger	567.97372525	LENOVO.20ERCTO1WW	586.14264325	577.5675440898438	1048576	20170921-0344	6	256	0.05	6	295.720807161	587.3205335	1398939.0	571
hashmaps	contains	9	objects-SetOf3-NumberArray-uniformDoubleOrInteger	115.63983902777778	LENOVO.20ERCTO1WW	118.2828705	118.4120320030382	1048576	20170921-0357	6	256	0.05	6	272.825929003	120.90421416666668	1398939.0	2521
signatures	contains	11	objects-SetOf3-NumberArray-uniformDoubleOrInteger	93.36074545454545	LENOVO.20ERCTO1WW	94.71468981818182	94.89726194211647	1048576	20170921-0410	6	256	0.05	6	267.22425352	96.56186972727272	1398939.0	3211
nohierarchy	contains	11	objects-SetOf3-NumberArray-uniformDoubleOrInteger	94.85573509090909	LENOVO.20ERCTO1WW	96.95634540909091	96.32899399076706	1048576	20170921-0423	6	256	0.05	6	271.257173555	97.67984645454546	1398939.0	3121
dynafun	contains	18	objects-SetOf3-NumberArray-uniformDoubleOrInteger	55.01569672222223	LENOVO.20ERCTO1WW	55.411659666666665	55.56197900607639	1048576	20170921-0436	6	256	0.05	6	256.02514187	56.09963372222223	1398939.0	5983
dynamap	contains	19	objects-SetOf3-NumberArray-uniformDoubleOrInteger	54.266007776315796	LENOVO.20ERCTO1WW	54.64555460526316	54.62451870600329	1048576	20170921-0449	6	256	0.05	6	265.696207313	54.90782097368422	1398939.0	5899
