algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	axpy	4	objects-m22-objects-v2-objects-v2	244.21220300000002	LENOVO.20ERCTO1WW	244.938902625	249.74790565625003	1048576	20170906-0058	6	256	0.05	6	255.72230098	254.96919574999998	214909.4872085337	141
instanceof	axpy	12	objects-m22-objects-v2-objects-v2	87.20884833333334	LENOVO.20ERCTO1WW	88.37977854166667	88.36761830468751	1048576	20170906-0107	6	256	0.05	6	271.45906384	89.39567018750002	214909.4872085337	151
instancefn	axpy	12	objects-m22-objects-v2-objects-v2	88.52502425000002	LENOVO.20ERCTO1WW	88.37409570833333	89.54133639029949	1048576	20170906-0117	6	256	0.05	6	275.068772199	90.42575354166668	214909.4872085337	113
defmulti	axpy	3	objects-m22-objects-v2-objects-v2	421.57523575000005	LENOVO.20ERCTO1WW	425.3376745	427.4018317916667	1048576	20170906-0127	6	256	0.05	6	328.235733617	434.0303521666667	214909.48557584328	25
hashmaps	axpy	5	objects-m22-objects-v2-objects-v2	204.66334550000002	LENOVO.20ERCTO1WW	208.2045988	208.11804512734375	1048576	20170906-0137	6	256	0.05	6	266.393256623	211.6829098	214909.48557584328	49
signatures	axpy	6	objects-m22-objects-v2-objects-v2	171.49324529166668	LENOVO.20ERCTO1WW	174.32528525	173.6795852102865	1048576	20170906-0146	6	256	0.05	6	266.772507679	175.83437245833335	214909.48557584328	82
nohierarchy	axpy	7	objects-m22-objects-v2-objects-v2	146.96201471428571	LENOVO.20ERCTO1WW	149.63529221428573	148.7694437310268	1048576	20170906-0156	6	256	0.05	6	266.582385255	150.61480028571427	214909.48557584328	78
dynafun	axpy	6	objects-m22-objects-v2-objects-v2	160.14834116666668	LENOVO.20ERCTO1WW	161.90833766666665	163.99546669140628	1048576	20170906-0205	6	256	0.05	6	251.891593023	169.4332	214909.48557584328	61
dynamap	axpy	7	objects-m22-objects-v2-objects-v2	165.79067532142858	LENOVO.20ERCTO1WW	168.24253214285713	167.3754403984375	1048576	20170906-0215	6	256	0.05	6	299.932769416	169.13012982142857	214909.48557584328	61
