algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	axpy	12	linearfunctions-m22-vectors-v2-vectors-v2	86.70007058333334	LENOVO.20ERCTO1WW	92.06790025	94.53060950292969	1048576	20170905-2259	6	256	0.05	6	290.389825101	103.22183041666668	214037.0690506851	116
protocols	axpy	4	linearfunctions-m22-vectors-v2-vectors-v2	260.69663725000004	LENOVO.20ERCTO1WW	265.22057125	265.88478498242193	1048576	20170905-2309	6	256	0.05	6	272.269563703	272.347166625	214037.0690506851	41
instanceof	axpy	11	linearfunctions-m22-vectors-v2-vectors-v2	90.80281161363636	LENOVO.20ERCTO1WW	96.200159	94.0512801171875	1048576	20170905-2318	6	256	0.05	6	264.839227851	97.66731581818182	214037.0690506851	121
instancefn	axpy	11	linearfunctions-m22-vectors-v2-vectors-v2	91.16902481818181	LENOVO.20ERCTO1WW	92.44056022727273	92.25609451669034	1048576	20170905-2327	6	256	0.05	6	259.791018622	93.22760445454546	214037.0690506851	127
defmulti	axpy	2	linearfunctions-m22-vectors-v2-vectors-v2	628.1441515	LENOVO.20ERCTO1WW	638.35595975	634.922111998047	1048576	20170905-2338	6	256	0.05	6	325.084398213	641.010268	214037.07288064115	16
hashmaps	axpy	5	linearfunctions-m22-vectors-v2-vectors-v2	204.397354	LENOVO.20ERCTO1WW	210.4532735	212.12621087890625	1048576	20170905-2347	6	256	0.05	6	271.488674049	219.2161322	214037.07288064115	64
signatures	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	171.06812933333336	LENOVO.20ERCTO1WW	174.08906925	173.57766162890627	1048576	20170905-2357	6	256	0.05	6	266.614345591	175.78568883333335	214037.07288064115	67
nohierarchy	axpy	7	linearfunctions-m22-vectors-v2-vectors-v2	144.55927157142855	LENOVO.20ERCTO1WW	147.76325042857144	147.8510636032366	1048576	20170906-0006	6	256	0.05	6	264.941229076	150.39099614285715	214037.07288064115	79
dynafun	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	165.14440333333334	LENOVO.20ERCTO1WW	167.11062158333334	168.6688811139323	1048576	20170906-0016	6	256	0.05	6	259.104039427	174.68134158333334	214037.07288064115	67
dynamap	axpy	6	linearfunctions-m22-vectors-v2-vectors-v2	169.01331108333335	LENOVO.20ERCTO1WW	170.47474791666667	171.030118546224	1048576	20170906-0025	6	256	0.05	6	262.698169747	173.12271983333335	214037.07288064115	67
