algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	axpy	5	objects-m22-objects-v2-objects-v2	239.14651920000003	LENOVO.20ERCTO1WW	256.78607	249.16708269375002	1048576	20170919-0220	6	256	0.05	6	318.913914276	258.677478	215838.7289656073	49
instanceof	axpy	12	objects-m22-objects-v2-objects-v2	89.38527600000002	LENOVO.20ERCTO1WW	90.727056375	90.49886426334638	1048576	20170919-0230	6	256	0.05	6	278.010780296	91.5037545625	215838.7289656073	111
instancefn	axpy	12	objects-m22-objects-v2-objects-v2	90.21359816666667	LENOVO.20ERCTO1WW	90.32243754166667	91.1865785045573	1048576	20170919-0240	6	256	0.05	6	280.125747896	92.18817566666668	215838.7289656073	127
defmulti	axpy	2	objects-m22-objects-v2-objects-v2	635.3919655	LENOVO.20ERCTO1WW	647.20423975	643.5911078164063	1048576	20170919-0251	6	256	0.05	6	329.524360153	651.228031	215838.7289656073	16
hashmaps	axpy	5	objects-m22-objects-v2-objects-v2	203.0535424	LENOVO.20ERCTO1WW	207.1066897	206.95710634921878	1048576	20170919-0301	6	256	0.05	6	264.902552908	210.92006525000002	215838.7289656073	55
signatures	axpy	6	objects-m22-objects-v2-objects-v2	173.06526050000002	LENOVO.20ERCTO1WW	176.35135066666666	175.91732471289066	1048576	20170919-0310	6	256	0.05	6	270.18655389	178.817035	215838.7289656073	67
nohierarchy	axpy	7	objects-m22-objects-v2-objects-v2	148.06995789285716	LENOVO.20ERCTO1WW	149.23970864285715	149.6031425563616	1048576	20170919-0320	6	256	0.05	6	268.081012885	151.45183514285716	215838.7289656073	79
dynafun	axpy	6	objects-m22-objects-v2-objects-v2	168.222112	LENOVO.20ERCTO1WW	169.555262	170.06589247981773	1048576	20170919-0330	6	256	0.05	6	261.21598691	171.6213720416667	215838.7289656073	67
dynamap	axpy	6	objects-m22-objects-v2-objects-v2	166.25405308333336	LENOVO.20ERCTO1WW	168.15100108333334	168.02457049609376	1048576	20170919-0339	6	256	0.05	6	258.072348427	169.66034825	215838.7289656073	67
