algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokevirtual	axpy	8	d22s-d22-d2s-d2-d2s-d2	138.581154125	LENOVO.20ERCTO1WW	143.3699115	142.65020415	4194304	20170831-2242	6	100	0.05	6	114.116446585	145.149396375	219000.33182641387	193
invokeinterface	axpy	5	d22s-d22-d2s-d2-d2s-d2	199.7503432	LENOVO.20ERCTO1WW	202.2353999	202.071100576	4194304	20170831-2250	6	100	0.05	6	101.021457548	204.06186642	219000.33182641387	89
instanceof	axpy	8	d22s-d22-d2s-d2-d2s-d2	141.29394825	LENOVO.20ERCTO1WW	143.4758715	142.8035090275	4194304	20170831-2259	6	100	0.05	6	114.24108087	144.23296453750004	219000.33182641387	111
defmulti	axpy	1	d22s-d22-d2s-d2-d2s-d2	1413.304906	LENOVO.20ERCTO1WW	1449.704267	1442.4534156400002	4194304	20170831-2308	6	100	0.05	6	144.241919846	1473.7425458	219000.33182641387	7
hashmaps	axpy	3	d22s-d22-d2s-d2-d2s-d2	386.3076376666667	LENOVO.20ERCTO1WW	393.6019871666667	396.1263566933333	4194304	20170831-2316	6	100	0.05	6	118.838926632	407.5970556833334	219000.33182641387	29
nonvolatile	axpy	3	d22s-d22-d2s-d2-d2s-d2	397.3675283333334	LENOVO.20ERCTO1WW	414.2954765	409.4398652566667	4194304	20170831-2325	6	100	0.05	6	122.831302074	422.71816955	219000.33182641387	25
signatures	axpy	4	d22s-d22-d2s-d2-d2s-d2	300.90445700000004	LENOVO.20ERCTO1WW	315.50911075	308.4905423475001	4194304	20170831-2334	6	100	0.05	6	123.394828266	319.420262425	219000.33182641387	37
nohierarchy	axpy	5	d22s-d22-d2s-d2-d2s-d2	228.0883402	LENOVO.20ERCTO1WW	233.4711891	234.111121156	4194304	20170831-2343	6	100	0.05	6	117.050197349	241.2555484	219000.33182641387	43
dynafun	axpy	5	d22s-d22-d2s-d2-d2s-d2	222.316751	LENOVO.20ERCTO1WW	227.7467885	227.975601772	4194304	20170831-2352	6	100	0.05	6	113.984990728	233.40572683000002	219000.33182641387	50
dynarity	axpy	5	d22s-d22-d2s-d2-d2s-d2	224.2308408	LENOVO.20ERCTO1WW	232.7834543	231.24287674	4194304	20170901-0001	6	100	0.05	6	115.627881759	237.54734580000002	219000.33182641387	43
