algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	axpy	5	objects-m22-objects-v2-objects-v2	247.20400245000002	LENOVO.20ERCTO1WW	249.0429159	249.39910070000002	1048576	20170920-1919	6	256	0.05	6	319.227402751	251.5526436	215838.7289656073	1131
instanceof	axpy	12	objects-m22-objects-v2-objects-v2	88.73199650000001	LENOVO.20ERCTO1WW	89.94181116666667	89.70190037109376	1048576	20170920-1933	6	256	0.05	6	275.563976836	90.64209537500001	215838.7289656073	3101
instancefn	axpy	11	objects-m22-objects-v2-objects-v2	90.92891345454545	LENOVO.20ERCTO1WW	91.83635004545455	92.29737282350852	1048576	20170920-1947	6	256	0.05	6	259.910747516	93.55097163636364	215838.7289656073	3071
defmulti	axpy	2	objects-m22-objects-v2-objects-v2	618.5463055	LENOVO.20ERCTO1WW	623.84644925	624.411746359375	1048576	20170920-2003	6	256	0.05	6	319.697348522	631.243092	215838.7289656073	523
hashmaps	axpy	5	objects-m22-objects-v2-objects-v2	201.3575256	LENOVO.20ERCTO1WW	204.496039	204.70567478437502	1048576	20170920-2017	6	256	0.05	6	262.022928596	207.9295904	215838.7289656073	1346
signatures	axpy	6	objects-m22-objects-v2-objects-v2	170.8462921666667	LENOVO.20ERCTO1WW	183.94348816666667	175.00289604687504	1048576	20170920-2032	6	256	0.05	6	268.773131761	184.24162270833335	215838.7289656073	1909
nohierarchy	axpy	7	objects-m22-objects-v2-objects-v2	146.7008879642857	LENOVO.20ERCTO1WW	148.29901107142857	147.80641445479912	1048576	20170920-2046	6	256	0.05	6	264.868933139	148.97050257142857	215838.7289656073	1861
dynafun	axpy	7	objects-m22-objects-v2-objects-v2	164.47401307142857	LENOVO.20ERCTO1WW	166.39919485714285	165.88561814174108	1048576	20170920-2101	6	256	0.05	6	297.267705289	167.17138771428571	215838.7289656073	1975
dynamap	axpy	6	objects-m22-objects-v2-objects-v2	166.06525933333336	LENOVO.20ERCTO1WW	168.3382905	168.36741349283858	1048576	20170920-2115	6	256	0.05	6	258.608556725	170.7825959166667	215838.7289656073	1651
