algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
instanceof	axpy	3	objects-m22-objects-v2-objects-v2	353.54989	LENOVO.20ERCTO1WW	358.7811085	358.96398911	4194304	20170901-0140	6	100	0.05	6	107.691943076	363.80700475000003	223898.2915142318	31
defmulti	axpy	1	objects-m22-objects-v2-objects-v2	1735.8987730000001	LENOVO.20ERCTO1WW	1737.676002	1760.0455491900002	4194304	20170901-0150	6	100	0.05	6	175.994367446	1780.698352	223898.2916591903	6
hashmaps	axpy	2	objects-m22-objects-v2-objects-v2	794.5084770000001	LENOVO.20ERCTO1WW	806.964119	810.6698674300001	4194304	20170901-0200	6	100	0.05	6	162.148511497	821.939462	223898.2916591903	13
nonvolatile	axpy	2	objects-m22-objects-v2-objects-v2	818.499147	LENOVO.20ERCTO1WW	836.82582425	830.6791921250001	4194304	20170901-0211	6	100	0.05	6	166.130605746	843.2913386750001	223898.2916591903	13
signatures	axpy	2	objects-m22-objects-v2-objects-v2	674.2602885000001	LENOVO.20ERCTO1WW	682.5192865	687.1504171700001	4194304	20170901-0220	6	100	0.05	6	137.424524012	699.5772886750001	223898.2916591903	15
nohierarchy	axpy	2	objects-m22-objects-v2-objects-v2	606.713024	LENOVO.20ERCTO1WW	611.4069895	616.91068552	4194304	20170901-0230	6	100	0.05	6	123.384272612	626.870628	223898.2916591903	19
dynafun	axpy	2	objects-m22-objects-v2-objects-v2	623.0824160000001	LENOVO.20ERCTO1WW	636.97750975	631.950551375	4194304	20170901-0240	6	100	0.05	6	126.38434226	641.3725535500001	223898.2916591903	16
dynarity	axpy	2	objects-m22-objects-v2-objects-v2	602.3221920000001	LENOVO.20ERCTO1WW	605.4051285	611.760112485	4194304	20170901-0249	6	100	0.05	6	122.342652979	625.424485125	223898.2916591903	19
