algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
instanceof	axpy	3	objects-m22-objects-v2-objects-v2	348.190672	LENOVO.20ERCTO1WW	352.91001266666666	353.1329729833334	4194304	20170829-0140	6	100	0.05	6	105.942206464	357.82262933333334	223898.2915142318	46
defmulti	axpy	1	objects-m22-objects-v2-objects-v2	1744.765771	LENOVO.20ERCTO1WW	1777.29177	1778.84253308	4194304	20170829-0150	6	100	0.05	6	177.883569183	1809.5180264	223898.2916591903	6
hashmaps	axpy	2	objects-m22-objects-v2-objects-v2	807.5239815	LENOVO.20ERCTO1WW	822.918606	819.720338415	4194304	20170829-0201	6	100	0.05	6	163.936910268	832.6536409500001	223898.2916591903	13
nonvolatile	axpy	2	objects-m22-objects-v2-objects-v2	812.2255140000001	LENOVO.20ERCTO1WW	829.67442625	825.57737204	4194304	20170829-0211	6	100	0.05	6	165.117180713	842.4470505250001	223898.2916591903	13
signatures	axpy	2	objects-m22-objects-v2-objects-v2	673.6326880000001	LENOVO.20ERCTO1WW	684.91700425	686.1016225750001	4194304	20170829-0221	6	100	0.05	6	137.214346085	697.812441	223898.2916591903	15
nohierarchy	axpy	2	objects-m22-objects-v2-objects-v2	606.6739312000001	LENOVO.20ERCTO1WW	613.01254925	615.41036878	4194304	20170829-0231	6	100	0.05	6	123.075032666	627.920664375	223898.2916591903	19
dynafun	axpy	2	objects-m22-objects-v2-objects-v2	609.6597555000001	LENOVO.20ERCTO1WW	618.042833	618.846008365	4194304	20170829-0240	6	100	0.05	6	123.763033245	629.8528600000001	223898.2916591903	19
