algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	contains	5	objects-SetOf7-objects-uniformNumber	201.4164584	LENOVO.20ERCTO1WW	202.5384094	203.00957734140627	1048576	20170923-1148	6	256	0.05	6	259.851446877	204.51823430000002	1799364.0	2809
instanceof	contains	17	objects-SetOf7-objects-uniformNumber	59.758954705882346	LENOVO.20ERCTO1WW	60.11198976470588	60.14230074678309	1048576	20170923-1200	6	256	0.05	6	261.737957783	60.51331182352941	1787374.0	4705
instancefn	contains	18	objects-SetOf7-objects-uniformNumber	57.13908244444445	LENOVO.20ERCTO1WW	57.65703883333333	57.49324084027778	1048576	20170923-1214	6	256	0.05	6	264.92088789	57.828662819444446	1798864.0	6611
defmulti	contains	3	objects-SetOf7-objects-uniformNumber	357.1339203333334	LENOVO.20ERCTO1WW	362.72677983333335	362.1034369166667	1048576	20170923-1226	6	256	0.05	6	278.079630274	367.4296258333334	1799364.0	766
hashmaps	contains	8	objects-SetOf7-objects-uniformNumber	132.35553175	LENOVO.20ERCTO1WW	133.7683183125	134.77801436621095	1048576	20170923-1239	6	256	0.05	6	276.030795375	136.950222	1799364.0	2584
signatures	contains	10	objects-SetOf7-objects-uniformNumber	105.93361920000001	LENOVO.20ERCTO1WW	107.5756115	107.20587726796875	1048576	20170923-1252	6	256	0.05	6	274.449385536	108.451974	1799364.0	2717
nohierarchy	contains	9	objects-SetOf7-objects-uniformNumber	111.77311080555556	LENOVO.20ERCTO1WW	112.78459061111111	113.24101388194445	1048576	20170923-1305	6	256	0.05	6	260.901271233	114.82380844444445	1799364.0	2920
dynafun	contains	12	objects-SetOf7-objects-uniformNumber	84.90078416666667	LENOVO.20ERCTO1WW	85.68270266666667	85.93527239453127	1048576	20170923-1317	6	256	0.05	6	263.973015939	87.73035358333334	1799364.0	3235
dynamap	contains	12	objects-SetOf7-objects-uniformNumber	85.41847464583334	LENOVO.20ERCTO1WW	86.159648625	86.44443167740887	1048576	20170923-1329	6	256	0.05	6	265.55329803	87.34779695833335	1799364.0	3369
