algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	intersects	8	Sets-IntervalOf2-Sets-integer_interval	139.79463275	LENOVO.20ERCTO1WW	141.7528211875	140.9011180371094	1048576	20170924-0027	6	256	0.05	6	288.564263714	141.95123728125	4184118.0	2773
instanceof	intersects	46	Sets-IntervalOf2-Sets-integer_interval	22.138349195652175	LENOVO.20ERCTO1WW	22.21452610869565	22.221526970363456	1048576	20170924-0040	6	256	0.05	6	261.682163569	22.29525347826087	4184118.0	15067
instancefn	intersects	24	Sets-IntervalOf2-Sets-integer_interval	41.502546458333335	LENOVO.20ERCTO1WW	42.77535202083333	42.460309693033864	1048576	20170924-0054	6	256	0.05	6	260.884103183	42.92554387500001	4184118.0	9246
defmulti	intersects	2	Sets-IntervalOf2-Sets-integer_interval	593.2500205000001	LENOVO.20ERCTO1WW	595.915138	596.9813041386719	1048576	20170924-0108	6	256	0.05	6	305.651789681	601.019777125	4184118.0	547
hashmaps	intersects	11	Sets-IntervalOf2-Sets-integer_interval	94.54749163636365	LENOVO.20ERCTO1WW	96.14929877272728	96.92936249893467	1048576	20170924-0121	6	256	0.05	6	272.940922232	99.2810725	4184118.0	2831
signatures	intersects	14	Sets-IntervalOf2-Sets-integer_interval	76.20532207142857	LENOVO.20ERCTO1WW	78.48353489285714	77.3159420438058	1048576	20170924-0134	6	256	0.05	6	277.101612263	78.42746657142857	4184118.0	4249
nohierarchy	intersects	22	Sets-IntervalOf2-Sets-integer_interval	46.97538039772727	LENOVO.20ERCTO1WW	47.14953222727273	47.14943897709517	1048576	20170924-0148	6	256	0.05	6	265.545291326	47.39739345454545	4184118.0	6949
dynafun	intersects	23	Sets-IntervalOf2-Sets-integer_interval	43.259669065217395	LENOVO.20ERCTO1WW	43.5901257173913	43.59671279228941	1048576	20170924-0201	6	256	0.05	6	256.696916507	43.9679620326087	4184118.0	7717
dynamap	intersects	24	Sets-IntervalOf2-Sets-integer_interval	42.01463770833334	LENOVO.20ERCTO1WW	42.336833416666664	42.37717684586589	1048576	20170924-0214	6	256	0.05	6	260.36354935	42.73578506250001	4184118.0	7189
