algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	diameter	89	Sets-IntervalOf2	11.247394733146068	LENOVO.20ERCTO1WW	11.26997982022472	11.291010930828653	1048576	20170919-1302	6	256	0.05	6	257.249441169	11.331898269662922	1200.0	2377
protocols	diameter	7	Sets-IntervalOf2	148.493199	LENOVO.20ERCTO1WW	149.5287632857143	149.6353704614955	1048576	20170919-1308	6	256	0.05	6	268.148627845	150.56734928571427	1200.0	89
instanceof	diameter	75	Sets-IntervalOf2	13.419855440000001	LENOVO.20ERCTO1WW	13.46046532	13.454045662395833	1048576	20170919-1315	6	256	0.05	6	258.318526403	13.492753373333334	1200.0	785
instancefn	diameter	70	Sets-IntervalOf2	14.4415727	LENOVO.20ERCTO1WW	14.4660474	14.486612217243305	1048576	20170919-1322	6	256	0.05	6	259.596743252	14.527726467857143	1200.0	729
defmulti	diameter	15	Sets-IntervalOf2	69.93642315	LENOVO.20ERCTO1WW	71.04409006666667	70.7699056359375	1048576	20170919-1329	6	256	0.05	6	271.767312527	71.51373906666666	1200.0	153
hashmaps	diameter	28	Sets-IntervalOf2	36.61872530357143	LENOVO.20ERCTO1WW	37.097718767857145	36.87942587904576	1048576	20170919-1335	6	256	0.05	6	264.356457423	37.12146153571429	1200.0	339
signatures	diameter	25	Sets-IntervalOf2	40.1801602	LENOVO.20ERCTO1WW	40.39292444	40.469368337031256	1048576	20170919-1342	6	256	0.05	6	259.002607721	40.75386952000001	1200.0	243
nohierarchy	diameter	35	Sets-IntervalOf2	28.608476857142858	LENOVO.20ERCTO1WW	28.651638385714286	28.734090248325895	1048576	20170919-1349	6	256	0.05	6	257.456251403	28.92938825714286	1200.0	365
dynafun	diameter	45	Sets-IntervalOf2	21.74837308888889	LENOVO.20ERCTO1WW	21.74294353333333	21.83861273185764	1048576	20170919-1355	6	256	0.05	6	251.57373711	21.90228898333334	1200.0	482
dynamap	diameter	36	Sets-IntervalOf2	27.866491972222224	LENOVO.20ERCTO1WW	28.062726027777778	27.987294718098962	1048576	20170919-1402	6	256	0.05	6	257.933392272	28.15019666666667	1200.0	371
