algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	diameter	87	Sets-IntervalOf2	11.50667550862069	LENOVO.20ERCTO1WW	11.534940729885058	11.531044904319325	1048576	20170921-0655	6	256	0.05	6	256.82163619	11.551680011494254	1200.0	31221
protocols	diameter	8	Sets-IntervalOf2	140.586764125	LENOVO.20ERCTO1WW	141.1529629375	141.73481962548829	1048576	20170921-0707	6	256	0.05	6	290.272293558	142.7860555	1200.0	2360
instanceof	diameter	71	Sets-IntervalOf2	14.106908845070423	LENOVO.20ERCTO1WW	14.154480577464788	14.137014376980634	1048576	20170921-0718	6	256	0.05	6	256.956573019	14.166324704225353	1200.0	19631
instancefn	diameter	66	Sets-IntervalOf2	15.167218507575761	LENOVO.20ERCTO1WW	15.222098893939394	15.201604706321024	1048576	20170921-0730	6	256	0.05	6	256.847092426	15.237160954545455	1200.0	19335
defmulti	diameter	13	Sets-IntervalOf2	82.65504561538461	LENOVO.20ERCTO1WW	83.10162861538461	83.66172202433894	1048576	20170921-0742	6	256	0.05	6	278.424412688	84.74688853846155	1200.0	3354
hashmaps	diameter	29	Sets-IntervalOf2	34.84395755172414	LENOVO.20ERCTO1WW	35.142209	35.15210032664332	1048576	20170921-0753	6	256	0.05	6	260.97229254	35.42205075862069	1200.0	7987
signatures	diameter	26	Sets-IntervalOf2	38.16185980769231	LENOVO.20ERCTO1WW	38.65063955769231	38.63869414453125	1048576	20170921-0804	6	256	0.05	6	257.175365116	39.02981078846154	1200.0	7071
nohierarchy	diameter	42	Sets-IntervalOf2	23.736482809523814	LENOVO.20ERCTO1WW	23.942387916666668	23.8605146421131	1048576	20170921-0816	6	256	0.05	6	256.550049439	23.961884833333336	1200.0	12221
dynafun	diameter	45	Sets-IntervalOf2	22.282601422222225	LENOVO.20ERCTO1WW	22.335657122222223	22.33870645138889	1048576	20170921-0827	6	256	0.05	6	257.343268765	22.390552422222225	1200.0	13133
dynamap	diameter	33	Sets-IntervalOf2	30.203768068181823	LENOVO.20ERCTO1WW	30.517681590909092	30.374816285156257	1048576	20170921-0839	6	256	0.05	6	256.608869028	30.530505916666673	1200.0	9625
