algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
dynest	diameter	32	objects-SetOf3	31.527706750000004	LENOVO.20ERCTO1WW	31.785501375	31.740369920288085	1048576	20170905-0121	6	256	0.05	6	260.012829865	31.93667503125	1200.0	337
instancefn	diameter	32	objects-SetOf3	32.0450054375	LENOVO.20ERCTO1WW	32.377557828125	32.35424240283203	1048576	20170905-0128	6	256	0.05	6	265.047573994	32.4691902109375	1200.0	349
nohierarchy	diameter	22	objects-SetOf3	45.85368072727273	LENOVO.20ERCTO1WW	46.252354295454545	46.171148712357954	1048576	20170905-0136	6	256	0.05	6	260.034567558	46.511047636363635	1200.0	216
dynafun	diameter	25	objects-SetOf3	40.379241920000005	LENOVO.20ERCTO1WW	40.55044814	40.62893030328126	1048576	20170905-0143	6	256	0.05	6	260.023492865	40.87464159	1200.0	277
dynalin	diameter	32	objects-SetOf3	31.19261875	LENOVO.20ERCTO1WW	31.412960421875	31.413566576171878	1048576	20170905-0150	6	256	0.05	6	257.344557798	31.642552773437497	1200.0	343
