algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestatic	diameter	31	IntegerIntervals-integer_interval	33.398838129032264	LENOVO.20ERCTO1WW	33.705803661290325	33.65447302419356	4194304	20170901-0255	6	100	0.05	6	104.330533293	33.87661712903226	1200.0	334
invokevirtual	diameter	30	IntegerIntervals-integer_interval	33.25712666666667	LENOVO.20ERCTO1WW	33.53932193333333	33.48889935866667	4194304	20170901-0259	6	100	0.05	6	100.464511136	33.71008806500001	1200.0	305
invokeinterface	diameter	30	IntegerIntervals-integer_interval	33.27772209833333	LENOVO.20ERCTO1WW	33.4669224	33.627794009666665	4194304	20170901-0304	6	100	0.05	6	100.881484641	34.258041633333335	1200.0	329
instanceof	diameter	30	IntegerIntervals-integer_interval	34.35116666666667	LENOVO.20ERCTO1WW	34.69842548333333	34.69205515666667	4194304	20170901-0309	6	100	0.05	6	104.079971182	35.105471048333335	1200.0	298
defmulti	diameter	4	IntegerIntervals-integer_interval	281.4983962875	LENOVO.20ERCTO1WW	285.113160875	287.06005119	4194304	20170901-0314	6	100	0.05	6	114.82913792	292.32208625	1200.0	37
hashmaps	diameter	10	IntegerIntervals-integer_interval	100.82721937000001	LENOVO.20ERCTO1WW	104.52924085	103.949284136	4194304	20170901-0319	6	100	0.05	6	103.957825119	108.7668924	1200.0	105
nonvolatile	diameter	9	IntegerIntervals-integer_interval	112.20038377777779	LENOVO.20ERCTO1WW	115.91025177777777	114.73689398555555	4194304	20170901-0324	6	100	0.05	6	103.265519159	117.47216166666666	1200.0	85
signatures	diameter	8	IntegerIntervals-integer_interval	131.298793	LENOVO.20ERCTO1WW	135.89751075	135.430269445	4194304	20170901-0328	6	100	0.05	6	108.348474194	138.68116525000002	1200.0	97
nohierarchy	diameter	16	IntegerIntervals-integer_interval	65.32561224999999	LENOVO.20ERCTO1WW	66.82292090625	66.780749081875	4194304	20170901-0333	6	100	0.05	6	106.84937066	68.053234975	1200.0	153
dynafun	diameter	17	IntegerIntervals-integer_interval	61.89329217647058	LENOVO.20ERCTO1WW	62.728530235294116	62.83367136176471	4194304	20170901-0338	6	100	0.05	6	106.814131393	63.69329117647059	1200.0	162
