algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	diameter	6	objects-SetOf7	188.90032304166667	LENOVO.20ERCTO1WW	189.26162183333332	190.79579167903648	1048576	20170919-1515	6	256	0.05	6	293.064791717	192.5176112916667	1200.0	61
instanceof	diameter	29	objects-SetOf7	34.75370751724138	LENOVO.20ERCTO1WW	34.8172925	34.84846724030172	1048576	20170919-1522	6	256	0.05	6	258.714012474	34.9447988362069	1200.0	325
instancefn	diameter	26	objects-SetOf7	39.80504392307692	LENOVO.20ERCTO1WW	40.26954494230769	40.182808123046875	1048576	20170919-1529	6	256	0.05	6	267.456708507	40.50763719230769	1200.0	283
defmulti	diameter	11	objects-SetOf7	94.67688000000001	LENOVO.20ERCTO1WW	95.94146318181818	95.94281834943182	1048576	20170919-1537	6	256	0.05	6	270.17841971	97.07701863636365	1200.0	121
hashmaps	diameter	17	objects-SetOf7	60.92697670588235	LENOVO.20ERCTO1WW	61.56095902941176	61.540763837775735	1048576	20170919-1544	6	256	0.05	6	267.828389794	62.25436148529412	1200.0	171
signatures	diameter	17	objects-SetOf7	59.74827088235294	LENOVO.20ERCTO1WW	60.617627588235294	60.44950632766544	1048576	20170919-1551	6	256	0.05	6	263.072990638	61.14892257352941	1200.0	193
nohierarchy	diameter	20	objects-SetOf7	49.6812378	LENOVO.20ERCTO1WW	50.376931725	50.17474515898437	1048576	20170919-1558	6	256	0.05	6	256.898555272	50.58927115	1200.0	229
dynafun	diameter	20	objects-SetOf7	50.1893718	LENOVO.20ERCTO1WW	50.9164093	50.83828586289062	1048576	20170919-1605	6	256	0.05	6	260.291422651	51.3986972	1200.0	229
dynamap	diameter	21	objects-SetOf7	48.09761652380953	LENOVO.20ERCTO1WW	48.680006404761905	48.67005669605655	1048576	20170919-1612	6	256	0.05	6	261.654048382	49.08733638095238	1200.0	216
