algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	intersects	8	Sets-IntervalOf2-Sets-integer_interval	134.41323125000002	LENOVO.20ERCTO1WW	135.562951	135.29145102441407	1048576	20170921-1557	6	256	0.05	6	277.077086435	136.060682625	4184118.0	2671
instanceof	intersects	45	Sets-IntervalOf2-Sets-integer_interval	22.218613622222225	LENOVO.20ERCTO1WW	22.293492944444445	22.315752088020837	1048576	20170921-1611	6	256	0.05	6	257.078364431	22.406324505555556	4184118.0	14875
instancefn	intersects	38	Sets-IntervalOf2-Sets-integer_interval	26.84576110526316	LENOVO.20ERCTO1WW	26.940710184210527	26.943127375000003	1048576	20170921-1623	6	256	0.05	6	262.102736177	27.04300068421053	4184118.0	10903
defmulti	intersects	2	Sets-IntervalOf2-Sets-integer_interval	592.96232925	LENOVO.20ERCTO1WW	595.3643785	597.2699256972656	1048576	20170921-1637	6	256	0.05	6	305.794225852	601.894469375	4184118.0	461
hashmaps	intersects	11	Sets-IntervalOf2-Sets-integer_interval	93.43577668181818	LENOVO.20ERCTO1WW	94.63543995454546	95.35716180575284	1048576	20170921-1649	6	256	0.05	6	268.520631971	97.32761463636363	4184118.0	2901
signatures	intersects	14	Sets-IntervalOf2-Sets-integer_interval	74.05827119642858	LENOVO.20ERCTO1WW	75.34323217857143	75.30275652371651	1048576	20170921-1702	6	256	0.05	6	269.88903389	76.35192151785714	4184118.0	4075
nohierarchy	intersects	22	Sets-IntervalOf2-Sets-integer_interval	46.57827990909091	LENOVO.20ERCTO1WW	46.7916545	46.81456848206676	1048576	20170921-1715	6	256	0.05	6	263.658181168	46.985353363636364	4184118.0	6051
dynafun	intersects	23	Sets-IntervalOf2-Sets-integer_interval	44.81077008695652	LENOVO.20ERCTO1WW	44.9627352826087	45.25681928872283	1048576	20170921-1728	6	256	0.05	6	266.46671216	45.58737882608696	4184118.0	6715
dynamap	intersects	24	Sets-IntervalOf2-Sets-integer_interval	42.530351979166674	LENOVO.20ERCTO1WW	42.9584389375	42.895579024251305	1048576	20170921-1741	6	256	0.05	6	263.559503275	43.244262052083336	4184118.0	7423
