algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
protocols	intersects	6	objects-SetOf3-objects-SetOf3	191.55791616666667	LENOVO.20ERCTO1WW	192.25530583333332	192.81701133658856	1048576	20170921-1757	6	256	0.05	6	296.171741986	193.92462233333336	2795168.0	2080
instanceof	intersects	23	objects-SetOf3-objects-SetOf3	43.69947169565218	LENOVO.20ERCTO1WW	43.81184617391305	43.868002393002726	1048576	20170921-1810	6	256	0.05	6	258.294871748	44.00890780434783	2795168.0	6925
instancefn	intersects	20	objects-SetOf3-objects-SetOf3	51.6341659	LENOVO.20ERCTO1WW	52.12040135	51.95407259882813	1048576	20170921-1823	6	256	0.05	6	266.009368176	52.25347475	2795168.0	5551
defmulti	intersects	2	objects-SetOf3-objects-SetOf3	600.7849545	LENOVO.20ERCTO1WW	603.42764175	605.4961874042968	1048576	20170921-1838	6	256	0.05	6	310.00396259	610.9480447500001	2795168.0	541
hashmaps	intersects	8	objects-SetOf3-objects-SetOf3	124.56494387500001	LENOVO.20ERCTO1WW	131.1333025625	127.9609566435547	1048576	20170921-1851	6	256	0.05	6	262.047469226	132.595910875	2795168.0	2176
signatures	intersects	10	objects-SetOf3-objects-SetOf3	103.2670943	LENOVO.20ERCTO1WW	104.2083858	105.00562409335939	1048576	20170921-1904	6	256	0.05	6	268.797280332	106.544256	2795168.0	2941
nohierarchy	intersects	12	objects-SetOf3-objects-SetOf3	87.4712645	LENOVO.20ERCTO1WW	88.28835775	88.1251019544271	1048576	20170921-1917	6	256	0.05	6	270.720533468	88.685956625	2795168.0	3111
dynafun	intersects	15	objects-SetOf3-objects-SetOf3	69.40433013333333	LENOVO.20ERCTO1WW	69.84062376666667	69.99675220729166	1048576	20170921-1931	6	256	0.05	6	268.788211144	70.55287688333334	2795168.0	4507
dynamap	intersects	15	objects-SetOf3-objects-SetOf3	70.03275726666668	LENOVO.20ERCTO1WW	70.9456408	70.63408970833333	1048576	20170921-1944	6	256	0.05	6	271.236567755	71.14304390000001	2795168.0	3976
