algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
instanceof	intersects	11	Sets-IntervalOf2-Sets-integer_interval	91.65414645454545	LENOVO.20ERCTO1WW	92.53312172727273	92.55399850363636	4194304	20170829-1047	6	100	0.05	6	101.806061604	93.40782368636363	16736235	127
defmulti	intersects	1	Sets-IntervalOf2-Sets-integer_interval	2448.3203380000004	LENOVO.20ERCTO1WW	2459.936414	2463.4920742300005	4194304	20170829-1056	6	100	0.05	6	246.348611546	2480.6799176500003	16736235	5
hashmaps	intersects	3	Sets-IntervalOf2-Sets-integer_interval	338.71534725000004	LENOVO.20ERCTO1WW	352.262416	350.71031532000006	4194304	20170829-1104	6	100	0.05	6	105.21877983	360.11033766666674	16736235	31
nonvolatile	intersects	3	Sets-IntervalOf2-Sets-integer_interval	403.0117986666667	LENOVO.20ERCTO1WW	414.2479476666667	413.86857088000005	4194304	20170829-1111	6	100	0.05	6	124.159402857	425.5585503166667	16736235	25
signatures	intersects	4	Sets-IntervalOf2-Sets-integer_interval	284.72715575	LENOVO.20ERCTO1WW	290.595227875	290.80500092500006	4194304	20170829-1119	6	100	0.05	6	116.32026891	297.04141475	16736235	37
nohierarchy	intersects	6	Sets-IntervalOf2-Sets-integer_interval	194.95596550000002	LENOVO.20ERCTO1WW	198.524827	198.09544215500003	4194304	20170829-1126	6	100	0.05	6	118.849077312	203.57803984166668	16736235	51
dynafun	intersects	6	Sets-IntervalOf2-Sets-integer_interval	197.77062450000003	LENOVO.20ERCTO1WW	199.52126241666667	200.532834365	4194304	20170829-1134	6	100	0.05	6	120.319502971	204.43439275000003	16736235	55
