algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
dynest	intersects	37	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	27.489478054054057	LENOVO.20ERCTO1WW	27.6871155	27.684222914801524	1048576	20170905-0235	6	256	0.05	6	262.224749761	27.88745348648649	4173887	386
instancefn	intersects	49	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	20.174448887755105	LENOVO.20ERCTO1WW	20.234364857142857	20.282421277024874	1048576	20170905-0243	6	256	0.05	6	254.419163933	20.381229081632654	4173887	493
nohierarchy	intersects	26	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	41.126797730769226	LENOVO.20ERCTO1WW	41.61562655769231	41.62509751277043	1048576	20170905-0251	6	256	0.05	6	277.067619108	42.080288884615385	4173887	253
dynafun	intersects	22	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	45.534870363636365	LENOVO.20ERCTO1WW	46.23267856818182	46.1451056106179	1048576	20170905-0259	6	256	0.05	6	259.888483208	46.72088325	4173887	235
dynalin	intersects	27	IntegerIntervals-integer_interval-IntegerIntervals-integer_interval	37.136076851851854	LENOVO.20ERCTO1WW	37.85109740740741	37.65776789149306	1048576	20170905-0307	6	256	0.05	6	260.277754771	38.108798972222225	4173887	276
