algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokestaticPrimitive	contains	IntegerIntervals-ints	integer_interval-uniform_int	83	IntegerIntervals-integer_interval-ints-uniform_int	11.503139289156627	LENOVO.20ERCTO1WW	11.521970012048193	11.524531120481928	1048576	20210130-1323	6	50	0.05	6	47.82465195	11.543128445783132	2066524.0	12151
invokevirtualPrimitive	contains	IntegerIntervals-ints	integer_interval-uniform_int	88	IntegerIntervals-integer_interval-ints-uniform_int	11.46378	LENOVO.20ERCTO1WW	11.4894675	11.481888568181818	1048576	20210130-1326	6	50	0.05	6	50.5188549	11.494791590909092	2097757.0	12741
invokeinterfacePrimitive	contains	IntegerIntervals-ints	integer_interval-uniform_int	88	IntegerIntervals-integer_interval-ints-uniform_int	11.46496409090909	LENOVO.20ERCTO1WW	11.541308977272728	11.523827727272726	1048576	20210130-1330	6	50	0.05	6	50.7051425	11.664685568181818	2097757.0	12702
